Item,Price (USD),Units,Subtotal,Link,£255.70
Ardupilot kit,$179.99,1,$179.99,http://hobbyking.com/hobbyking/store/__58283__HKPilot_Mega_2_7_Master_Set_With_OSD_LEA_6H_GPS_Power_module_Telemetry_Radio_915Mhz_XT_60_.html,
Motors,$13.20,4,$52.80,http://hobbyking.com/hobbyking/store/__18969__Turnigy_D2836_8_1100KV_Brushless_Outrunner_Motor.html,
Speed controllers,$13.15,4,$52.60,http://hobbyking.com/hobbyking/store/__2164__TURNIGY_Plush_30amp_Speed_Controller.html,
Battery,$37.07,1,$37.07,http://hobbyking.com/hobbyking/store/__26795__Turnigy_5800mAh_3S_25C_Lipo_Pack_UK_Warehouse_.html,
Radio,$59.99,1,$59.99,http://hobbyking.com/hobbyking/store/__8992__Turnigy_9X_9Ch_Transmitter_w_Module_8ch_Receiver_Mode_2_v2_Firmware_.html,
Servo wires,$1.80,1,$1.80,http://hobbyking.com/hobbyking/store/__61681__10CM_Male_to_Male_Servo_Lead_JR_26AWG_10pcs_set_.html,
Power wire red,$2.20,2,$4.40,http://hobbyking.com/hobbyking/store/__9673__Turnigy_Pure_Silicone_Wire_12AWG_1mtr_RED.html,
Power wire black,$2.20,2,$4.40,http://hobbyking.com/hobbyking/store/__9674__Turnigy_Pure_Silicone_Wire_12AWG_1mtr_BLACK.html,
Propellers green,$2.88,2,$5.76,http://www.hobbyking.com/hobbyking/store/__25820__10x4_5_SF_Props_2pc_CW_2pc_CCW_Green_.html,
Propellers red,$2.90,2,$5.80,http://www.hobbyking.com/hobbyking/store/__25821__10x4_5_SF_Props_2pc_Standard_Rotation_2_pc_RH_Rotation_Red_.html,
XT-60 connectors,$3.99,2,$7.98,http://hobbyking.com/hobbyking/store/__9572__Nylon_XT60_Connectors_Male_Female_5_pairs_GENUINE.html,
Bullet connectors,$4.24,2,$8.48,http://hobbyking.com/hobbyking/store/__4136__Gold_Plated_Spring_Connector_3_5mm_10pair_20pc_.html,
Charger,$28.99,1,$28.99,http://hobbyking.com/hobbyking/store/__11341__Turnigy_MAX80W_7A_Lithium_Polymer_Battery_Charger.html,
Insulation foam,$37.79,0.2,$7.56, http://www.homedepot.ca/product/foamular-c-300-extruded-polystyrene-rigid-insulation-24-inch-x-96-inch-x-2-/905952,
